category,legitimate_transactions,false_positives,false_positive_rate_percent
travel,17409,2266,13.016255959561146
misc_pos,34502,2492,7.222769694510463
shopping_pos,49578,1154,2.327645326556134
grocery_pos,52068,1135,2.1798417454098487
misc_net,27100,566,2.088560885608856
shopping_net,41273,836,2.0255372761854
personal_care,39257,569,1.4494230328349085
kids_pets,48627,507,1.0426306373002654
health_fitness,36622,180,0.4915078368193982
food_dining,39214,154,0.39271688682613354
entertainment,40045,73,0.18229491821700586
gas_transport,56216,95,0.16899103458090223
home,52278,33,0.0631240674853667
grocery_net,19385,2,0.010317255610007738
