transaction_hour,total_transactions,fraudulent_transactions,fraud_rate_percent
0,42502,635,1.4940473389487554
1,42869,658,1.5349086752665098
2,42656,625,1.4652100525131284
3,42769,609,1.4239285463770488
4,41863,46,0.10988223490910828
5,42171,60,0.1422778686775272
6,42300,40,0.09456264775413711
7,42203,56,0.13269198872118096
8,42505,49,0.1152805552287966
9,42185,47,0.11141400971909447
10,42271,40,0.09462752241489437
11,42082,42,0.09980514234114349
12,65257,67,0.1026709778261336
13,65314,80,0.12248522521970788
14,64885,86,0.132542190028512
15,65391,79,0.12081173250141457
16,65726,76,0.11563156133037156
17,65450,78,0.11917494270435446
18,66051,81,0.12263251124131354
19,65508,81,0.12364901996702693
20,65098,62,0.09524102122953086
21,65533,74,0.11292020813941069
22,66982,1931,2.882864053029172
23,67104,1904,2.8373867429661424
