model,scenario,threshold,false_positives,false_negatives,true_positives,missed_fraud_amount,estimated_false_positive_cost,estimated_false_negative_cost,estimated_total_cost
Gradient Boosting,Low Cost,0.1,1173,258,1887,50531.52,5865,50531.52,56396.52
Gradient Boosting,Moderate Cost,0.1,1173,258,1887,50531.52,17595,75797.28,93392.28
Gradient Boosting,High Cost,0.1,1173,258,1887,50531.52,35190,101063.04,136253.03999999998
Gradient Boosting,Low Cost,0.2,522,363,1782,69872.52,2610,69872.52,72482.52
Gradient Boosting,Moderate Cost,0.2,522,363,1782,69872.52,7830,104808.78,112638.78
Gradient Boosting,High Cost,0.2,522,363,1782,69872.52,15660,139745.04,155405.04
Gradient Boosting,Low Cost,0.3,286,409,1736,81534.35,1430,81534.35,82964.35
Gradient Boosting,Moderate Cost,0.3,286,409,1736,81534.35,4290,122301.52500000001,126591.52500000001
Gradient Boosting,High Cost,0.3,286,409,1736,81534.35,8580,163068.7,171648.7
Gradient Boosting,Low Cost,0.4,215,433,1712,88394.37,1075,88394.37,89469.37
Gradient Boosting,Moderate Cost,0.4,215,433,1712,88394.37,3225,132591.555,135816.555
Gradient Boosting,High Cost,0.4,215,433,1712,88394.37,6450,176788.74,183238.74
Gradient Boosting,Low Cost,0.5,163,468,1677,102654.82,815,102654.82,103469.82
Gradient Boosting,Moderate Cost,0.5,163,468,1677,102654.82,2445,153982.23,156427.23
Gradient Boosting,High Cost,0.5,163,468,1677,102654.82,4890,205309.64,210199.64
Gradient Boosting,Low Cost,0.6,111,513,1632,122875.45,555,122875.45,123430.45
Gradient Boosting,Moderate Cost,0.6,111,513,1632,122875.45,1665,184313.175,185978.175
Gradient Boosting,High Cost,0.6,111,513,1632,122875.45,3330,245750.9,249080.9
Gradient Boosting,Low Cost,0.7,74,576,1569,154890.69,370,154890.69,155260.69
Gradient Boosting,Moderate Cost,0.7,74,576,1569,154890.69,1110,232336.035,233446.035
Gradient Boosting,High Cost,0.7,74,576,1569,154890.69,2220,309781.38,312001.38
Gradient Boosting,Low Cost,0.8,51,636,1509,188556.57,255,188556.57,188811.57
Gradient Boosting,Moderate Cost,0.8,51,636,1509,188556.57,765,282834.855,283599.855
Gradient Boosting,High Cost,0.8,51,636,1509,188556.57,1530,377113.14,378643.14
Gradient Boosting,Low Cost,0.9,20,736,1409,248463.68000000002,100,248463.68000000002,248563.68000000002
Gradient Boosting,Moderate Cost,0.9,20,736,1409,248463.68000000002,300,372695.52,372995.52
Gradient Boosting,High Cost,0.9,20,736,1409,248463.68000000002,600,496927.36000000004,497527.36000000004
